InvoiceNo,Quantity,UnitPrice,Value,Time,CumulativeSum,BuyingClass,Frequency,CumulativeFreq,FrequencyClass
578841,12540,0.0,0.0,15,0.0,Low spender,1,1,Low Frequency
561811,18,4.25,76.5,15,4896.309999999999,Low spender,1,2,Low Frequency
2819285,73,16.45,135.95,75,31334.670000000006,Low spender,1,3,Low Frequency
2215600,20,24.299999999999997,89.0,68,7176.329999999997,Low spender,1,4,Low Frequency
2739535,38,33.35,88.19999999999999,60,7087.329999999997,Low spender,1,5,Low Frequency
3839213,51,20.349999999999998,125.65,77,25806.529999999995,Low spender,1,6,Low Frequency
3225750,36,19.599999999999998,87.5,84,6999.129999999997,Low spender,1,7,Low Frequency
2805965,78,12.04,87.4,65,6911.629999999997,Low spender,1,8,Low Frequency
11491780,63,65.25000000000001,125.58000000000003,200,25680.879999999994,Low spender,1,9,Low Frequency
17044203,37,131.14,136.04,372,31606.710000000006,Low spender,1,10,Low Frequency
2772575,30,27.930000000000003,135.93,80,31198.720000000005,Low spender,1,11,Low Frequency
564819,48,1.79,85.92,12,6824.229999999998,Low spender,1,12,Low Frequency
1097338,72,3.8,136.8,30,31880.280000000006,Low spender,1,13,Low Frequency
16343559,49,60.73000000000001,85.13000000000002,406,6738.309999999998,Low spender,1,14,Low Frequency
548623,100,0.85,85.0,12,6653.179999999998,Low spender,1,15,Low Frequency
9837985,45,64.76,125.22,187,25555.299999999992,Low spender,1,16,Low Frequency
4909230,97,16.669999999999998,137.10000000000002,90,32154.380000000005,Low spender,1,17,Low Frequency
5771780,95,33.019999999999996,137.31,110,32291.690000000006,Low spender,1,18,Low Frequency
5145606,82,14.58,124.88000000000001,81,25430.07999999999,Low spender,1,19,Low Frequency
5368400,147,25.450000000000003,137.35,180,32429.040000000005,Low spender,1,20,Low Frequency
5721070,26,92.44000000000001,137.37,170,32566.410000000003,Low spender,1,21,Low Frequency
3905013,17,91.05000000000001,137.45,77,32703.860000000004,Low spender,1,22,Low Frequency
4343912,71,30.740000000000002,154.41,88,44712.51000000002,Low spender,1,23,Low Frequency
5111298,73,23.43,137.75,153,32841.61,Low spender,1,24,Low Frequency
5572730,278,25.849999999999998,137.89999999999998,110,32979.51,Low spender,1,25,Low Frequency
3942274,80,13.79,138.32,98,33532.28,Low spender,1,26,Low Frequency
2764030,28,18.75,85.0,60,6568.179999999998,Low spender,1,27,Low Frequency
3418188,62,9.08,92.46000000000001,90,8444.049999999996,Low spender,1,28,Low Frequency
9830199,217,26.91,138.6,204,33670.88,Low spender,1,29,Low Frequency
4444704,33,40.839999999999996,124.57,72,25305.19999999999,Low spender,1,30,Low Frequency
3314874,70,14.99,92.72,90,8536.769999999995,Low spender,1,31,Low Frequency
6787368,41,35.25,82.75,180,6398.529999999998,Low spender,1,32,Low Frequency
5470510,66,56.19,138.68,120,33809.56,Low spender,1,33,Low Frequency
9019248,153,20.770000000000003,138.97999999999996,224,33948.54,Low spender,1,34,Low Frequency
4951710,43,32.35,139.04999999999998,171,34087.590000000004,Low spender,1,35,Low Frequency
2904885,93,12.96,124.2,75,25180.62999999999,Low spender,1,36,Low Frequency
2284904,55,21.18,81.57,52,6315.779999999998,Low spender,1,37,Low Frequency
4606776,58,25.950000000000003,139.10000000000002,96,34226.69,Low spender,1,38,Low Frequency
2282404,60,11.03,81.44,48,6234.209999999998,Low spender,1,39,Low Frequency
5074641,82,31.580000000000002,139.26,135,34365.950000000004,Low spender,1,40,Low Frequency
3305496,83,25.15,139.35,78,34505.3,Low spender,1,41,Low Frequency
3895248,54,39.35999999999999,80.82,70,6152.769999999999,Low spender,1,42,Low Frequency
10546748,44,83.8,139.35000000000002,247,34644.65,Low spender,1,43,Low Frequency
2900510,32,14.45,80.8,75,6071.949999999999,Low spender,1,44,Low Frequency
19363922,99,87.70000000000002,138.03000000000006,476,33117.54,Low spender,1,45,Low Frequency
10914040,47,78.24000000000001,136.76999999999998,300,31743.480000000007,Low spender,1,46,Low Frequency
